"dataset","type","sampling","mean","IC.low","IC.up","bias.corrected"
"2013","TNB","rnd",15975.5348837209,11600.4,19693.95,TRUE
"2013","TNB","clump",15949.7162162162,10436.5,19650.15,TRUE
"2013","LS","rnd",14550.2941176471,14006.2,14975.4,TRUE
"2013","LS","clump",15176.4,14679.95,15743.95,TRUE
"2013","LSE LS","rnd",17511.6,17208.5,17748.2,TRUE
"2013","LSE LS","clump",17751.6,17595.3,17893,TRUE
"2013","LSE TNB","rnd",14514.5,14471.225,14551.825,TRUE
"2013","LSE TNB","clump",14539.6666666667,14513.15,14554,TRUE
"2013","CHAO","rnd",14027.2222222222,13768.6,14503,TRUE
"2013","CHAO","clump",14706,14559.2,14891.1,TRUE
"2013","ABC","rnd",NA,NA,NA,TRUE
"2013","ABC","clump",17938.5964658111,15428.0188690173,19951.3903581537,TRUE
"2013 updated","TNB","rnd",12105.3265306122,9507,14534.2,TRUE
"2013 updated","TNB","clump",11967.3448275862,8239,14865.625,TRUE
"2013 updated","LS","rnd",12885.2,12557.8,13467.7,TRUE
"2013 updated","LS","clump",13758.8125,13379.75,14050.875,TRUE
"2013 updated","LSE LS","rnd",15355.5,15231.525,15479.475,TRUE
"2013 updated","LSE LS","clump",15515,15487.45,15542.55,TRUE
"2013 updated","LSE TNB","rnd",10636,10616.05,10655.95,TRUE
"2013 updated","LSE TNB","clump",10657,10657,10657,TRUE
"2013 updated","CHAO","rnd",12460,12391.2,12567.9,TRUE
"2013 updated","CHAO","clump",13557,13494.3,13619.7,TRUE
"2013 updated","ABC","rnd",NA,NA,NA,TRUE
"2013 updated","ABC","clump",16184.2502599233,13714.7289505228,18644.218628644,TRUE
"2019","TNB","rnd",11785.1851851852,8502.45,15436.3,TRUE
"2019","TNB","clump",14214.75,12535.3,16007.8,TRUE
"2019","LS","rnd",13225.4666666667,12817.05,13709.05,TRUE
"2019","LS","clump",14445.2222222222,13837.25,14883.95,TRUE
"2019","LSE LS","rnd",16401.6666666667,16316.3,16538.6,TRUE
"2019","LSE LS","clump",16554.6666666667,16354,16795.75,TRUE
"2019","LSE TNB","rnd",NA,NA,NA,TRUE
"2019","LSE TNB","clump",NA,NA,NA,TRUE
"2019","CHAO","rnd",12675,12329.925,12908.725,TRUE
"2019","CHAO","clump",14500,14080.375,14845.675,TRUE
"2019","ABC","rnd",NA,NA,NA,TRUE
"2019","ABC","clump",17380.5465680314,14773.6168532865,19425.8357987273,TRUE
"2013","CHAO",NA,5558.81034482759,5435.04125848714,5682.57943116804,FALSE
"2013 updated","CHAO",NA,5006.78472222222,4897.4157266799,5116.15371776455,FALSE
"2019","CHAO",NA,5422.5572755418,5330.51809563066,5514.59645545293,FALSE
"2013","TNB",NA,13496.7636516136,12447.8548304824,14323.8815288811,FALSE
"2013 updated","TNB",NA,10271.2457758088,9466.74595761154,11232.5171865368,FALSE
"2019","TNB",NA,10874.2543410831,10159.0404042074,11752.5948338121,FALSE
"2013","LS",NA,15077.237665858,13989.3262727598,16214.7718137796,FALSE
"2013 updated","LS",NA,13509.4589952935,12485.9547416009,14582.1107435174,FALSE
"2019","LS",NA,13793.4288120268,12766.8076378731,14868.6247204289,FALSE
"2013","LSE",NA,15195.7522853218,14922.8150976832,15482.7144475517,FALSE
"2013 updated","LSE",NA,13570.235956592,13339.3759922362,13787.744510749,FALSE
"2019","LSE",NA,14699.8739382377,14473.7731323368,14902.0483674901,FALSE
